product_position,promotion,seasonal,sales_volume,name,price,terms,section,season,material,origin,price_range,revenue
Front of Store,Yes,Yes,1330,Ripped Denim Jacket,43.95,Jackets,Woman,Autumn,Cotton,Morocco,Medium,58453.50000000001
End-cap,No,No,880,Textured Pocket Jacket,74.99,Jackets,Woman,Winter,Polyester,India,High,65991.2
Front of Store,No,No,815,Faux Suede Patch Jacket,49.99,Jackets,Woman,Autumn,Viscose,Argentina,Medium,40741.85
End-cap,No,Yes,851,Puffer Jacket With Pouch Pocket,39.95,Jackets,Man,Autumn,Wool,India,Medium,33997.450000000004
Front of Store,No,No,749,Bomber Jacket,59.99,Jackets,Man,Autumn,Polyester,Morocco,High,44932.51
End-cap,Yes,No,1211,Textured Weave Overshirt,86.99,Jackets,Woman,Spring,Cotton,Bangladesh,Premium,105344.89
Front of Store,No,Yes,899,Straight Suit Jacket,22.95,Jackets,Woman,Spring,Cotton,Cambodia,Low,20632.05
Front of Store,No,No,908,Hooded Quilted Jacket,17.95,Jackets,Man,Winter,Wool Blend,China,Low,16298.599999999999
End-cap,No,No,895,Lightweight Puffer Jacket,29.0,Jackets,Woman,Autumn,Acrylic,Bangladesh,Medium,25955.0
Front of Store,No,Yes,785,Cotton Blend Bomber Jacket,29.95,Jackets,Woman,Autumn,Polyester,Vietnam,Medium,23510.75
Aisle,No,No,735,Pocket Jacket,19.99,Jackets,Man,Autumn,Viscose,Turkey,Low,14692.65
End-cap,No,No,980,Oversized Bomber Jacket,22.0,Jackets,Woman,Autumn,Cotton,India,Low,21560.0
End-cap,No,Yes,964,Embroidered Patch Jacket,35.95,Jackets,Woman,Autumn,Viscose,Bangladesh,Medium,34655.8
Front of Store,No,Yes,826,Acid Wash Denim Jacket,29.99,Jackets,Man,Spring,Denim,Spain,Medium,24771.739999999998
End-cap,No,Yes,845,Vintage Effect Leather Bomber Jacket,29.95,Jackets,Woman,Autumn,Cotton,Portugal,Medium,25307.75
Front of Store,No,No,923,Textured Denim Jacket Limited Edition,25.99,Jackets,Woman,Spring,Denim,Turkey,Medium,23988.769999999997
Aisle,Yes,No,1297,Wool Blend Jacket,92.99,Jackets,Man,Winter,Wool Blend,Vietnam,Premium,120608.03
Aisle,No,No,919,Cotton - Linen Blend Jacket,49.95,Jackets,Woman,Spring,Cotton,China,Medium,45904.05
End-cap,No,No,896,Fleece Bomber Jacket,19.99,Jackets,Woman,Autumn,Cotton,Cambodia,Low,17911.039999999997
Aisle,No,No,815,Zippered Jacket,29.95,Jackets,Woman,Autumn,Viscose,India,Medium,24409.25
Aisle,Yes,Yes,1226,Cotton Jacket,41.95,Jackets,Man,Autumn,Polyester,Turkey,Medium,51430.700000000004
End-cap,No,Yes,1012,Wool Blend Textured Jacket,53.0,Jackets,Woman,Winter,Wool,China,High,53636.0
Aisle,No,Yes,784,Contrast Jacquard Jacket,15.0,Jackets,Man,Spring,Viscose,Turkey,Low,11760.0
Front of Store,No,Yes,723,Cropped Overshirt,89.95,Jackets,Woman,Spring,Cotton,Cambodia,Premium,65033.85
Aisle,Yes,No,1323,Contrasting Patches Hooded Jacket,35.99,Jackets,Woman,Spring,Cotton,China,Medium,47614.770000000004
End-cap,Yes,No,1457,Utility Pocket Jacket,37.99,Jackets,Woman,Autumn,Cotton,India,Medium,55351.43
Aisle,No,Yes,891,Lightweight Bomber Jacket,29.99,Jackets,Woman,Spring,Wool Blend,China,Medium,26721.09
Front of Store,No,No,936,Wool Blend Jacket,38.99,Jackets,Woman,Winter,Wool,Bangladesh,Medium,36494.64
Front of Store,Yes,No,1429,Technical Padded Jacket,28.99,Jackets,Man,Autumn,Polyester,China,Medium,41426.71
Front of Store,No,No,797,Mixed Collar Waxed Jacket,78.99,Jackets,Man,Winter,Polyester,Portugal,Premium,62955.03
End-cap,Yes,Yes,1448,Contrasting Patches Bomber Jacket,33.99,Jackets,Woman,Spring,Cotton,Turkey,Medium,49217.520000000004
Front of Store,No,Yes,1050,Padded Bomber Jacket,64.99,Jackets,Woman,Winter,Polyester,Spain,High,68239.5
Aisle,No,Yes,920,Technical Padded Jacket,59.99,Jackets,Woman,Autumn,Wool Blend,China,High,55190.8
End-cap,No,Yes,687,Pocket Denim Jacket,99.99,Jackets,Woman,Autumn,Cotton,Bangladesh,Premium,68693.12999999999
Aisle,Yes,Yes,1407,Boxy Fit Denim Jacket,16.95,Jackets,Woman,Spring,Denim,Turkey,Low,23848.649999999998
Aisle,No,No,890,Faux Shearling Plaid Jacket,22.95,Jackets,Woman,Autumn,Cotton,Brazil,Low,20425.5
Front of Store,Yes,Yes,1395,Embroidered Forest Jacket,17.95,Jackets,Man,Autumn,Cotton,China,Low,25040.25
Front of Store,Yes,No,1289,Pocket Overshirt,69.95,Jackets,Woman,Summer,Linen,Spain,High,90165.55
Aisle,No,No,739,Boucle Textured Vest,65.95,Jackets,Man,Winter,Wool,Spain,High,48737.05
End-cap,Yes,Yes,1302,Color Block Puffer Jacket,16.99,Jackets,Man,Autumn,Acrylic,Vietnam,Low,22120.98
Aisle,Yes,Yes,1530,Longline Quilted Jacket,19.99,Jackets,Woman,Winter,Wool Blend,Bangladesh,Low,30584.699999999997
Aisle,No,Yes,962,Wool Blend Suit Jacket,29.99,Jackets,Woman,Autumn,Wool Blend,Bangladesh,Medium,28850.379999999997
Aisle,Yes,No,1079,Hooded Knit Cardigan,59.99,Jackets,Man,Autumn,Acrylic,China,High,64729.21
Aisle,No,No,903,Hooded Technical Jacket,15.99,Jackets,Woman,Autumn,Polyester,China,Low,14438.97
End-cap,No,No,925,Houndstooth Suit Jacket,29.95,Jackets,Woman,Autumn,Viscose,China,Medium,27703.75
Aisle,No,No,1068,Bomber Jacket,28.99,Jackets,Woman,Winter,Wool Blend,Turkey,Medium,30961.32
Front of Store,No,No,708,Hooded Technical Jacket,79.95,Jackets,Woman,Autumn,Wool Blend,Spain,Premium,56604.6
End-cap,Yes,No,1620,Hooded Technical Jacket,12.95,Jackets,Woman,Autumn,Viscose,Turkey,Low,20979.0
Front of Store,No,No,1014,Washed Effect Bomber Jacket,19.99,Jackets,Woman,Spring,Polyester,Spain,Low,20269.859999999997
Front of Store,Yes,Yes,1275,Washed Technical Jacket,16.95,Jackets,Man,Autumn,Cotton,Bangladesh,Low,21611.25
End-cap,Yes,Yes,1177,100% Feather Fill Puffer Jacket,34.99,Jackets,Woman,Autumn,Wool Blend,Morocco,Medium,41183.23
Aisle,Yes,Yes,1827,Padded Bomber Jacket,16.95,Jackets,Woman,Winter,Cotton,India,Low,30967.649999999998
Aisle,Yes,Yes,1232,Pocket Jacket,80.95,Jackets,Woman,Autumn,Polyester,China,Premium,99730.40000000001
Front of Store,Yes,Yes,1077,Slim Fit Suit Jacket,76.0,Jackets,Man,Autumn,Polyester,India,Premium,81852.0
Front of Store,Yes,No,1848,Mixed Collar Jacket,18.99,Jackets,Woman,Winter,Viscose,Spain,Low,35093.52
End-cap,Yes,No,1312,Hooded Denim Jacket,69.99,Jackets,Woman,Autumn,Cotton,India,High,91826.87999999999
Aisle,Yes,No,1432,Waxed Effect Plaid Jacket,17.99,Jackets,Man,Autumn,Viscose,Vietnam,Low,25761.679999999997
Front of Store,No,Yes,864,Wool Blend Felt Texture Jacket,19.99,Jackets,Woman,Autumn,Wool Blend,Portugal,Low,17271.359999999997
Front of Store,Yes,Yes,1433,Printed Denim Overshirt,34.0,Jackets,Woman,Spring,Linen,Bangladesh,Medium,48722.0
Front of Store,No,No,973,Structured Twill Overshirt,28.99,Jackets,Man,Winter,Wool,India,Medium,28207.269999999997
Front of Store,No,Yes,980,Cotton Overshirt,33.95,Jackets,Woman,Summer,Cotton,Brazil,Medium,33271.0
Aisle,Yes,No,1495,Reversible Plaid Overshirt,17.0,Jackets,Woman,Autumn,Cotton,Morocco,Low,25415.0
End-cap,Yes,Yes,1590,Plaid Overshirt,25.95,Jackets,Woman,Summer,Linen,Spain,Medium,41260.5
Aisle,Yes,No,1529,Pocket Overshirt,23.95,Jackets,Man,Summer,Linen,Turkey,Low,36619.549999999996
End-cap,Yes,Yes,1525,100% Linen Overshirt,28.99,Jackets,Woman,Summer,Linen,China,Medium,44209.75
Aisle,Yes,Yes,1518,Plaid Overshirt,43.99,Jackets,Woman,Winter,Cotton,Bangladesh,Medium,66776.82
Aisle,No,No,770,Pocket Denim Overshirt,45.99,Jackets,Woman,Spring,Linen Blend,Bangladesh,Medium,35412.3
End-cap,Yes,Yes,1216,Faux Suede Overshirt,55.95,Jackets,Man,Autumn,Polyester,Portugal,High,68035.2
Aisle,No,No,872,Plaid Overshirt,29.99,Jackets,Man,Autumn,Viscose,Bangladesh,Medium,26151.28
End-cap,Yes,Yes,1677,Textured Pocket Overshirt,17.99,Jackets,Man,Winter,Polyester,Spain,Low,30169.229999999996
End-cap,Yes,Yes,1314,Pocket Overshirt,61.99,Jackets,Woman,Autumn,Wool Blend,China,High,81454.86
End-cap,Yes,No,1560,Overshirt,20.99,Jackets,Woman,Autumn,Cotton,China,Low,32744.399999999998
Front of Store,No,Yes,937,Plaid Overshirt,15.95,Jackets,Woman,Autumn,Cotton,India,Low,14945.15
End-cap,No,No,843,Pocket Overshirt,19.99,Jackets,Woman,Autumn,Viscose,Morocco,Low,16851.57
End-cap,No,No,738,Zippered Wool Blend Overshirt,98.95,Jackets,Man,Winter,Wool Blend,Bangladesh,Premium,73025.1
End-cap,Yes,Yes,1404,Geometric Jacquard Overshirt,79.99,Jackets,Woman,Summer,Linen,Cambodia,Premium,112305.95999999999
Front of Store,No,Yes,942,Paint Print Overshirt,29.99,Jackets,Woman,Autumn,Polyester,China,Medium,28250.579999999998
Front of Store,No,Yes,887,Padded Corduroy Overshirt,19.0,Jackets,Woman,Autumn,Polyester,Spain,Low,16853.0
Aisle,Yes,Yes,1501,Plaid Tie Dye Overshirt,32.0,Jackets,Woman,Summer,Cotton,Bangladesh,Medium,48032.0
Front of Store,No,No,798,Overshirt With Contrasting Topstitching,59.99,Jackets,Woman,Spring,Linen,Cambodia,High,47872.020000000004
Front of Store,No,Yes,945,Quilted Structured Overshirt,54.99,Jackets,Man,Winter,Polyester,Vietnam,High,51965.55
End-cap,Yes,Yes,1323,Technical Overshirt,64.99,Jackets,Woman,Winter,Viscose,Turkey,High,85981.76999999999
Aisle,Yes,Yes,1300,Plaid Overshirt,56.95,Jackets,Man,Summer,Cotton,Bangladesh,High,74035.0
Aisle,No,Yes,953,Suede Fisherman Sandals,45.95,Shoes,Woman,Spring,Cotton,Portugal,Medium,43790.350000000006
End-cap,Yes,Yes,1383,Zipper Multipiece Sneakers,19.95,Shoes,Woman,Spring,Cotton,Bangladesh,Low,27590.85
Aisle,No,No,766,Suede Laceless Sneakers,21.99,Shoes,Man,Summer,Cotton,Turkey,Low,16844.34
End-cap,No,Yes,854,Multicolor Sneakers,55.99,Shoes,Woman,Winter,Polyester,India,High,47815.46
End-cap,No,No,828,Retro Running Sneakers,22.99,Shoes,Woman,Autumn,Polyester,Bangladesh,Low,19035.719999999998
End-cap,No,No,963,Suede High-Tops,31.95,Shoes,Woman,Winter,Polyester,Bangladesh,Medium,30767.85
End-cap,Yes,No,1467,Suede Strap Sandals,47.99,Shoes,Man,Summer,Polyester,India,Medium,70401.33
End-cap,Yes,Yes,1519,Multipiece Sneakers,26.99,Shoes,Woman,Autumn,Polyester,Bangladesh,Medium,40997.81
Front of Store,No,No,694,Topstitch Sneakers,129.99,Shoes,Man,Winter,Cotton,Portugal,Premium,90213.06000000001
Aisle,No,Yes,989,Retro Sneakers,21.95,Shoes,Man,Summer,Viscose,Turkey,Low,21708.55
Aisle,Yes,Yes,1510,Retro High Top Sneakers,19.99,Shoes,Woman,Summer,Cotton,China,Low,30184.899999999998
Aisle,Yes,Yes,1243,Multi-Pieced Retro Sneakers,31.99,Shoes,Man,Autumn,Viscose,Portugal,Medium,39763.57
Aisle,Yes,Yes,1413,Tassel Leather Loafers,35.99,Shoes,Woman,Spring,Viscose,China,Medium,50853.87
Front of Store,No,Yes,889,Moc-Toe Suede Boots,74.95,Shoes,Woman,Summer,Cotton,Vietnam,High,66630.55
Aisle,No,No,980,Strap Sandals,22.95,Shoes,Woman,Summer,Cotton,Morocco,Low,22491.0
Aisle,Yes,No,1391,Suede Retro Sneakers,51.99,Shoes,Woman,Spring,Cotton,India,High,72318.09
End-cap,Yes,Yes,1255,Hiking Boots,49.95,Shoes,Woman,Spring,Viscose,Vietnam,Medium,62687.25
Front of Store,Yes,Yes,1491,Suede Sneakers,19.99,Shoes,Woman,Summer,Cotton,China,Low,29805.089999999997
End-cap,Yes,Yes,1230,Faux Shearling Lined Suede Boots,103.99,Shoes,Woman,Summer,Viscose,Bangladesh,Premium,127907.7
Front of Store,No,Yes,1063,Chunky Sneakers,25.95,Shoes,Woman,Summer,Polyester,Cambodia,Medium,27584.85
Aisle,Yes,Yes,1374,Double Strap Suede Sandals,39.95,Shoes,Man,Summer,Viscose,India,Medium,54891.3
Front of Store,Yes,Yes,1585,Chunky Sole Canvas Lace-Up Boots,30.99,Shoes,Man,Summer,Cotton,Vietnam,Medium,49119.149999999994
Aisle,Yes,Yes,1329,Suede Penny Loafers,41.0,Shoes,Woman,Autumn,Viscose,Brazil,Medium,54489.0
Front of Store,No,No,860,Adherent Stripes Sneakers,53.99,Shoes,Woman,Summer,Polyester,Bangladesh,High,46431.4
End-cap,No,No,712,Multipiece Sneakers,25.99,Shoes,Man,Autumn,Cotton,Spain,Medium,18504.879999999997
Front of Store,No,No,804,Chunky Sole High Top Sneakers,66.95,Shoes,Man,Summer,Linen,Turkey,High,53827.8
Front of Store,Yes,Yes,1181,Contrast Sole Leather Sneakers,50.99,Shoes,Man,Autumn,Polyester,Portugal,High,60219.19
End-cap,No,No,833,Suede Running Sneakers,79.99,Shoes,Woman,Spring,Cotton,China,Premium,66631.67
Aisle,No,No,931,Woven Leather Slides,51.99,Shoes,Woman,Summer,Viscose,India,High,48402.69
Aisle,No,No,691,Suede Sneakers,130.99,Shoes,Man,Summer,Viscose,Turkey,Premium,90514.09000000001
Aisle,Yes,Yes,1365,Asymmetric Cropped Knit Sweater,20.95,Sweaters,Woman,Autumn,Wool Blend,Turkey,Low,28596.75
End-cap,Yes,Yes,1484,Knit Sweater With Pearls,21.95,Sweaters,Man,Winter,Wool Blend,China,Low,32573.8
Front of Store,No,No,895,High Collar Knit Sweater,77.95,Sweaters,Woman,Winter,Acrylic,India,Premium,69765.25
End-cap,No,No,836,Striped Knit Sweater,25.0,Sweaters,Woman,Autumn,Wool,Portugal,Low,20900.0
End-cap,No,No,954,Cable Knit Metallic Sweater,21.99,Sweaters,Man,Winter,Wool Blend,Turkey,Low,20978.46
Aisle,Yes,Yes,1532,Asymmetrical Wool And Silk Blend Sweater,54.99,Sweaters,Woman,Winter,Wool,Pakistan,High,84244.68000000001
Aisle,Yes,No,1738,Wool And Cashmere Blend Rib Sweater,21.99,Sweaters,Woman,Winter,Wool Blend,China,Low,38218.619999999995
Aisle,No,No,962,Alpaca And Wool Blend Tie Dye Knit Sweater,32.95,Sweaters,Man,Winter,Wool,India,Medium,31697.9
End-cap,Yes,Yes,1470,Mock Neck Wool And Silk Blend Knit Top,33.0,Sweaters,Woman,Autumn,Wool Blend,Morocco,Medium,48510.0
Front of Store,No,Yes,1129,Cashmere Blend Knit Sweater,50.99,Sweaters,Woman,Winter,Polyester,India,High,57567.71
Aisle,Yes,No,1380,Alpaca Blend Open Knit Sweater,49.99,Sweaters,Man,Winter,Wool Blend,China,Medium,68986.2
Aisle,Yes,No,1241,Oversized Knit Sweater,82.95,Sweaters,Man,Winter,Wool Blend,Turkey,Premium,102940.95
End-cap,Yes,No,1420,Wool Blend Knit Sweater,18.99,Sweaters,Woman,Autumn,Wool,Vietnam,Low,26965.8
Front of Store,Yes,Yes,1663,Soft Jewel Sweater,18.95,Sweaters,Woman,Winter,Wool,China,Low,31513.85
End-cap,Yes,Yes,1255,Faux Fur Jewel Sweater,23.99,Sweaters,Woman,Autumn,Wool,Bangladesh,Low,30107.449999999997
Front of Store,No,No,1125,Metal Bead Knit Sweater,38.99,Sweaters,Woman,Winter,Wool Blend,Portugal,Medium,43863.75
Aisle,Yes,No,1481,Knit Sweater With Buttons,52.99,Sweaters,Woman,Winter,Acrylic,India,High,78478.19
Front of Store,Yes,Yes,1119,Jewel Knit Sweater,48.0,Sweaters,Man,Autumn,Wool Blend,Bangladesh,Medium,53712.0
Front of Store,Yes,Yes,1515,Knit Sweater With Piping,73.95,Sweaters,Woman,Winter,Wool Blend,China,High,112034.25
End-cap,No,Yes,838,Fine Knit Crop Sweater,64.0,Sweaters,Man,Winter,Wool Blend,China,High,53632.0
End-cap,No,No,694,Knit Sweater With Rips,99.99,Sweaters,Man,Autumn,Wool Blend,Spain,Premium,69393.06
End-cap,Yes,Yes,1564,Gathered Waist Knit Sweater,39.95,Sweaters,Man,Winter,Acrylic,Bangladesh,Medium,62481.8
End-cap,No,No,934,Knit V-Neck Sweater,35.99,Sweaters,Woman,Autumn,Wool Blend,India,Medium,33614.66
Front of Store,Yes,Yes,1694,Basic Foil Knit Sweater,20.99,Sweaters,Woman,Winter,Wool,Portugal,Low,35557.06
End-cap,Yes,Yes,1381,Contrast Topstitching Crop Knit Sweater,62.99,Sweaters,Woman,Autumn,Polyester,Spain,High,86989.19
Aisle,No,Yes,890,Striped Crop Knit Sweater,22.99,Sweaters,Woman,Autumn,Polyester,China,Low,20461.1
Front of Store,Yes,Yes,1502,Basic Knit Sweater,31.99,Sweaters,Woman,Autumn,Wool,Turkey,Medium,48048.979999999996
Aisle,No,No,843,V-Neck Knit Sweater,86.99,Sweaters,Man,Winter,Wool,Morocco,Premium,73332.56999999999
Aisle,Yes,No,1724,Foil Knit Crop Sweater,24.95,Sweaters,Woman,Winter,Wool Blend,China,Low,43013.799999999996
Front of Store,No,Yes,795,Basic 100% Wool Sweater,35.95,Sweaters,Man,Autumn,Wool Blend,Portugal,Medium,28580.250000000004
End-cap,Yes,No,1287,Colorblock Knit Crop Sweater,63.99,Sweaters,Woman,Autumn,Wool,Vietnam,High,82355.13
Front of Store,No,Yes,998,Fine Knit Sweater,67.99,Sweaters,Woman,Winter,Wool,Bangladesh,High,67854.01999999999
Front of Store,No,No,813,Knit Open Back Pearly Sweater,65.99,Sweaters,Man,Winter,Wool Blend,Turkey,High,53649.869999999995
End-cap,Yes,No,1416,Knit Pearl Sweater,45.99,Sweaters,Woman,Winter,Acrylic,China,Medium,65121.840000000004
Aisle,No,No,982,Striped Textured Overshirt,19.99,Jackets,Woman,Autumn,Polyester,Morocco,Low,19630.179999999997
Aisle,No,No,919,Fleece Overshirt,49.95,Jackets,Woman,Autumn,Cotton,Brazil,Medium,45904.05
Aisle,Yes,No,1279,Plaid Overshirt,12.99,Jackets,Man,Spring,Cotton,India,Low,16614.21
Front of Store,No,Yes,752,Baggy Fit Jeans Limited Edition,79.99,Jeans,Woman,Autumn,Cotton,Bangladesh,Premium,60152.479999999996
End-cap,No,No,957,Baggy Belted Jeans,25.99,Jeans,Woman,Autumn,Cotton,China,Medium,24872.43
End-cap,No,No,853,Baggy Fit Jeans,40.99,Jeans,Woman,Winter,Cotton,Cambodia,Medium,34964.47
End-cap,No,No,983,Baggy Fit Jeans,25.99,Jeans,Woman,Winter,Denim,Argentina,Medium,25548.17
Front of Store,No,No,845,Flared Fit Cargo Jeans,39.95,Jeans,Man,Autumn,Cotton,Spain,Medium,33757.75
End-cap,Yes,No,1325,Pleated Wide Fit Jeans,25.99,Jeans,Man,Autumn,Cotton,India,Medium,34436.75
Aisle,No,No,1026,Denim Shirt,29.95,Jeans,Woman,Autumn,Cotton,Bangladesh,Medium,30728.7
Aisle,Yes,Yes,1420,Ripped Straight Fit Jeans,22.99,Jeans,Woman,Spring,Cotton,Bangladesh,Low,32645.8
Aisle,Yes,No,1528,Textured Sweater,17.99,Sweaters,Man,Winter,Wool,Brazil,Low,27488.719999999998
End-cap,Yes,Yes,1252,Purl Knit Sweater,39.99,Sweaters,Man,Autumn,Acrylic,Portugal,Medium,50067.48
End-cap,Yes,No,1225,Braided Color Block Sweater,51.99,Sweaters,Man,Autumn,Wool Blend,Bangladesh,High,63687.75
End-cap,Yes,No,1581,Contrast Interior Sweater,40.99,Sweaters,Woman,Winter,Acrylic,Cambodia,Medium,64805.19
Front of Store,No,No,981,Abstract Jacquard Sweater,17.99,Sweaters,Man,Winter,Wool,India,Low,17648.19
Aisle,Yes,No,1501,Basic Slim Fit T-Shirt,41.99,T-shirts,Woman,Summer,Linen Blend,Cambodia,Medium,63026.990000000005
Aisle,No,Yes,867,Cropped Washed T-Shirt,25.99,T-shirts,Woman,Spring,Linen,India,Medium,22533.329999999998
Aisle,Yes,Yes,1489,Basic Heavyweight T-Shirt,63.99,T-shirts,Woman,Summer,Cotton,Morocco,High,95281.11
End-cap,Yes,Yes,1511,Heart Print T-Shirt,83.95,T-shirts,Woman,Summer,Linen,China,Premium,126848.45
End-cap,Yes,No,1356,Text T-Shirt,29.95,T-shirts,Man,Spring,Linen,China,Medium,40612.2
End-cap,No,No,822,Printed Cropped Fit Shirt Limited Edition,29.95,T-shirts,Man,Spring,Linen,China,Medium,24618.899999999998
End-cap,No,No,811,Ribbed Knit T-Shirt,84.99,T-shirts,Man,Summer,Cotton,Morocco,Premium,68926.89
Aisle,No,Yes,1013,Oversize Fit T-Shirt,28.95,T-shirts,Woman,Summer,Linen,Morocco,Medium,29326.35
Front of Store,Yes,Yes,1611,Basic Medium Weight T-Shirt,25.95,T-shirts,Woman,Spring,Linen Blend,Turkey,Medium,41805.45
Aisle,No,No,820,Structured Text T-Shirt,59.0,T-shirts,Woman,Spring,Cotton,Portugal,High,48380.0
Aisle,No,No,895,Abstract Print T-Shirt,29.95,T-shirts,Woman,Spring,Cotton,Morocco,Medium,26805.25
